file,url,boxes,is_primary,Is there a face?,Hard to spot?,Accident or design?,Emotion?,Person or creature?,Gender?,Amusing?,Common?,Flags,num_boxes,train,split
000006307.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006307.jpg,"[[146.083, 166.648, 188.632, 271.601]]",[True],Yes,Medium,Design,Neutral,Human-Old,Male,Somewhat,Uncommon,['Interesting'],1,False,0
000021518.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021518.jpg,"[[162, 212, 89, 81]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,True,3
000007868.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007868.jpg,"[[254, 32, 258, 230], [14.183, 134.028, 250.327, 186.504]]","[False, True]",Yes,Easy,Design,Neutral,Alien,Neutral,No,,,2,True,2
000000102.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000102.jpg,"[[126, 94, 349, 322]]",[True],Yes,Hard,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,True,2
000007864.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007864.jpg,"[[285, 110, 221, 292], [7.091, 95.025, 229.053, 324.787]]","[False, True]",Yes,Easy,Accident,Sad,Animal,Neutral,Somewhat,Uncommon,['Interesting'],2,False,1
000005917.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005917.jpg,"[[126.936, 82.26, 194.305, 315.568]]",[True],Yes,Easy,Design,Neutral,Human-Adult,Male,Yes,Uncommon,['Interesting'],1,True,0
000003570.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000003570.jpg,"[[281, 163, 91, 138]]",[True],Yes,Easy,Accident,Neutral,Human-Adult,Female,No,Common,['Interesting'],1,True,3
000025618.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025618.jpg,"[[62, 275, 325, 156]]",[True],Yes,Easy,Accident,Happy,Robot,Neutral,No,Somewhat,,1,False,0
000026944.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026944.jpg,"[[271, 146, 169, 249]]",[True],Yes,Medium,Accident,Angry,Other,Neutral,No,Common,,1,False,2
000002615.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000002615.jpg,"[[34, 110, 270, 227]]",[True],Yes,Easy,Accident,Other,Other,Neutral,No,Common,['Interesting'],1,True,1
000018879.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018879.jpg,"[[234, 202, 79, 131]]",[True],Yes,Medium,Accident,Surprised,Alien,Neutral,No,Uncommon,,1,True,3
000024238.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024238.jpg,"[[124, 165, 215, 219]]",[True],Yes,Hard,Accident,Neutral,Other,Neutral,No,Uncommon,,1,True,3
000002520.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000002520.jpg,"[[172, 171, 202, 162]]",[True],Yes,Easy,Design,Happy,Human-Young,Female,No,Common,,1,True,2
000007550.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007550.jpg,"[[42.548, 207.069, 307.059, 163.103]]",[True],Yes,Medium,Accident,Happy,Robot,Neutral,Somewhat,Uncommon,['Interesting'],1,True,2
000006604.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006604.jpg,"[[197.141, 131.9, 151.757, 99.28]]",[True],Yes,Easy,Design,Happy,Animal,Female,Yes,Somewhat,['Interesting'],1,True,0
000023760.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000023760.jpg,"[[71, 9, 342, 455]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,False,1
000022526.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000022526.jpg,"[[224, 191, 105, 146]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,True,0
000006014.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006014.jpg,"[[187.922, 153.884, 73.751, 94.315]]",[True],Yes,Easy,Accident,Sad,Human-Adult,Neutral,Somewhat,Uncommon,['Interesting'],1,True,2
000014465.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000014465.jpg,"[[259, 160, 210, 296]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Common,['Interesting'],1,True,0
000024917.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024917.jpg,"[[211, 207, 126, 84]]",[True],Yes,Medium,Accident,Surprised,Alien,Neutral,No,Somewhat,,1,True,1
000006605.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006605.jpg,"[[341, 221, 27, 24]]",[True],Yes,Hard,Accident,Neutral,Animal,Neutral,No,Common,,1,True,2
000027359.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000027359.jpg,"[[107, 114, 253, 293]]",[True],Yes,Easy,Accident,Happy,Other,Neutral,Yes,Somewhat,,1,False,3
000024110.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024110.jpg,"[[67, 72, 318, 287]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,True,0
000018968.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018968.jpg,"[[198, 187, 174, 230]]",[True],Yes,Easy,Accident,Neutral,Human-Adult,Male,No,Common,['Interesting'],1,True,2
000013231.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000013231.jpg,"[[258, 135, 133, 248]]",[True],Yes,Easy,Design,Surprised,Human-Adult,Male,No,Somewhat,,1,False,1
000015140.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015140.jpg,"[[62, 99, 123, 81]]",[True],Yes,Medium,Accident,Neutral,Other,Neutral,No,Uncommon,,1,True,0
000010829.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000010829.jpg,"[[195, 142, 186, 228]]",[True],Yes,Hard,Accident,Sad,Alien,Neutral,No,Uncommon,,1,True,2
000007486.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007486.jpg,"[[215, 26, 107, 137], [193.596, 252.454, 168.066, 199.978]]","[False, True]",Yes,Easy,Design,Happy,Human-Young,Neutral,Somewhat,Uncommon,['Interesting'],2,True,3
000027945.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000027945.jpg,"[[187, 88, 174, 289]]",[True],Yes,Medium,Accident,Neutral,Robot,Neutral,No,Common,,1,True,3
000000350.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000350.jpg,"[[95, 212, 344, 184]]",[True],Yes,Easy,Accident,Happy,Robot,Neutral,Somewhat,Somewhat,,1,True,3
000006512.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006512.jpg,"[[162.393, 155.302, 180.831, 229.053]]",[True],Yes,Medium,Accident,Happy,Human-Adult,Male,Somewhat,Uncommon,['Interesting'],1,False,1
000012705.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000012705.jpg,"[[61, 186, 185, 177]]",[True],Yes,Hard,Accident,Angry,Alien,Neutral,No,Uncommon,,1,True,0
000026560.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026560.jpg,"[[209, 154, 111, 82]]",[True],Yes,Hard,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,False,0
000001290.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000001290.jpg,"[[238, 216, 62, 52]]",[True],Yes,Easy,Design,Happy,Human-Young,Neutral,No,Common,,1,True,3
000004766.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000004766.jpg,"[[132, 51, 99, 88], [112, 210, 144, 106], [274, 174, 121, 133]]","[True, False, False]",Several,Easy,Design,Surprised,Cartoon,Neutral,No,Common,,3,False,3
000011770.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000011770.jpg,"[[119, 251, 44, 62]]",[True],Yes,Easy,Accident,Neutral,Human-Adult,Male,No,Common,['Interesting'],1,True,1
000020006.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000020006.jpg,"[[166, 170, 215, 133]]",[True],Yes,Easy,Accident,Neutral,Human-Old,Neutral,No,Common,['Interesting'],1,False,0
000018753.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018753.jpg,"[[123, 103, 318, 314]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,False,3
000021487.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021487.jpg,"[[239, 154, 146, 208]]",[True],Yes,Hard,Accident,Neutral,Human-Old,Male,No,Uncommon,,1,True,1
000015365.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015365.jpg,"[[267, 155, 49, 98]]",[True],Yes,Medium,Accident,Scared,Animal,Male,No,Uncommon,,1,True,1
000025846.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025846.jpg,"[[96, 173, 118, 107], [225, 65, 228, 166], [175, 331, 107, 113]]","[True, False, True]",Several,Easy,Accident,Surprised,Robot,Neutral,No,Common,,3,True,2
000022435.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000022435.jpg,"[[96, 83, 94, 114], [323, 233, 79, 86], [37, 305, 100, 68], [171, 302, 87, 54]]","[True, False, False, False]",Several,Easy,Design,Scared,Animal,Neutral,Somewhat,Common,,4,False,2
000015039.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015039.jpg,"[[153, 175, 161, 132]]",[True],Yes,Medium,Accident,Surprised,Robot,Neutral,No,Somewhat,,1,True,3
000021860.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021860.jpg,"[[184, 133, 49, 34]]",[True],Yes,Easy,Design,Neutral,Human-Adult,Female,No,Common,['Interesting'],1,True,3
000026356.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026356.jpg,"[[83, 84, 342, 297]]",[True],Yes,Medium,Accident,Happy,Alien,Neutral,Yes,Uncommon,,1,False,0
000011413.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000011413.jpg,"[[6, 182, 103, 114], [220, 97, 89, 83], [400, 200, 112, 110]]","[True, False, False]",Several,Medium,Design,Happy,Robot,Neutral,Somewhat,Somewhat,,3,False,0
000025600.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025600.jpg,"[[256, 71, 73, 89], [164, 24, 91, 130]]","[True, False]",Several,Medium,Design,Neutral,Human-Old,Male,No,Uncommon,,2,True,1
000005328.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005328.jpg,"[[0, 169, 98, 83], [0, 248, 110, 94], [98, 306, 142, 109], [258, 264, 126, 127], [237, 168, 144, 91], [76, 108, 98, 77], [182, 78, 113, 100], [308, 73, 120, 91], [400, 129, 112, 101], [373, 216, 139, 118], [102.116, 197.141, 141.829, 95.025]]","[False, False, False, False, False, False, False, False, False, False, True]",Yes,Easy,Design,Happy,Cartoon,Neutral,Somewhat,Common,['Interesting'],11,True,1
000010972.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000010972.jpg,"[[175, 284, 171, 185]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,No,Uncommon,['Interesting'],1,True,0
000002210.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000002210.jpg,"[[135, 164, 148, 229]]",[True],Yes,Easy,Design,Neutral,Cartoon,Male,No,Common,['Interesting'],1,False,0
000004940.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000004940.jpg,"[[258, 107, 172, 116]]",[True],Yes,Hard,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,True,3
000003261.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000003261.jpg,"[[241, 188, 203, 181]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,True,3
000016692.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000016692.jpg,"[[202, 118, 255, 284]]",[True],Yes,Easy,Accident,Neutral,Human-Young,Male,No,Uncommon,['Interesting'],1,False,3
000010142.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000010142.jpg,"[[321, 211, 93, 87]]",[True],Yes,Easy,Design,Happy,Animal,Neutral,No,Common,,1,False,1
000019731.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000019731.jpg,"[[157, 186, 63, 87]]",[True],Yes,Easy,Accident,Happy,Robot,Neutral,No,Common,,1,True,2
000023004.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000023004.jpg,"[[244, 140, 162, 210]]",[True],Yes,Medium,Accident,Neutral,Animal,Neutral,No,Common,['NSFW'],1,True,0
000003440.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000003440.jpg,"[[175, 197, 47, 55], [289, 195, 43, 46]]","[True, False]",Several,Easy,Design,Happy,Human-Adult,Male,Somewhat,Somewhat,,2,False,3
000003904.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000003904.jpg,"[[113, 153, 242, 281]]",[True],Yes,Medium,Design,Scared,Animal,Neutral,No,Uncommon,,1,False,3
000001013.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000001013.jpg,"[[144, 146, 218, 243]]",[True],Yes,Easy,Design,Happy,Animal,Neutral,No,Common,,1,True,1
000014594.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000014594.jpg,"[[95, 201, 346, 265]]",[True],Yes,Easy,Design,Neutral,Other,Neutral,No,Common,,1,False,2
000027632.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000027632.jpg,"[[233, 193, 138, 173]]",[True],Yes,Hard,Accident,Neutral,Human-Old,Male,Somewhat,Uncommon,,1,False,1
000017441.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000017441.jpg,"[[210, 139, 171, 145]]",[True],Yes,Hard,Accident,Neutral,Human-Old,Male,No,Uncommon,,1,True,2
000014657.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000014657.jpg,"[[212, 206, 91, 95]]",[True],Yes,Easy,Accident,Neutral,Alien,Neutral,No,Common,['Interesting'],1,True,3
000005382.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005382.jpg,"[[83.679, 197.85, 304.93, 254.582]]",[True],Yes,Easy,Design,Neutral,Human-Adult,Neutral,Somewhat,Common,['Interesting'],1,True,1
000015687.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015687.jpg,"[[167, 291, 112, 75]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,No,Common,,1,True,3
000005280.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005280.jpg,"[[109.917, 175.158, 287.911, 181.54]]",[True],Yes,Easy,Design,Happy,Human-Adult,Neutral,Somewhat,Common,['Interesting'],1,False,3
000022192.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000022192.jpg,"[[133, 201, 202, 184]]",[True],Yes,Hard,Accident,Neutral,Robot,Neutral,No,Uncommon,,1,False,2
000011039.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000011039.jpg,"[[181, 176, 145, 162]]",[True],Yes,Easy,Design,Neutral,Other,Neutral,No,Uncommon,['Interesting'],1,False,1
000027575.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000027575.jpg,"[[211, 200, 93, 92]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,True,1
000027867.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000027867.jpg,"[[179, 79, 125, 166]]",[True],Yes,Easy,Design,Neutral,Human-Adult,Male,Somewhat,Somewhat,,1,True,0
000008951.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000008951.jpg,"[[70, 16, 347, 472]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,False,2
000020016.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000020016.jpg,"[[154, 285, 97, 60]]",[True],Yes,Easy,Accident,Neutral,Cartoon,Neutral,No,Common,['Interesting'],1,False,0
000011260.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000011260.jpg,"[[346, 253, 57, 57], [54, 255, 82, 77], [103, 146, 27, 32]]","[False, False, True]",Several,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],3,False,2
000004635.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000004635.jpg,"[[211, 230, 58, 205], [270, 224, 93, 213]]","[False, True]",Several,Easy,Accident,Neutral,Animal,Neutral,No,Uncommon,['Interesting'],2,True,3
000026267.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026267.jpg,"[[163, 143, 200, 220]]",[True],Yes,Easy,Design,Scared,Robot,Neutral,Somewhat,Somewhat,,1,True,1
000003891.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000003891.jpg,"[[291, 166, 156, 133]]",[True],Yes,Hard,Accident,Neutral,Human-Old,Male,Somewhat,Uncommon,,1,True,2
000022212.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000022212.jpg,"[[120, 86, 251, 239]]",[True],Yes,Easy,Design,Happy,Cartoon,Neutral,No,Common,,1,False,0
000013103.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000013103.jpg,"[[316, 165, 180, 170]]",[True],Yes,Hard,Accident,Neutral,Animal,Neutral,No,Uncommon,,1,True,3
000018640.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018640.jpg,"[[71, 171, 107, 168]]",[True],Yes,Easy,Accident,Neutral,Human-Adult,Male,No,Uncommon,,1,True,0
000009832.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000009832.jpg,"[[134, 320, 253, 175]]",[True],Yes,Easy,Design,Neutral,Human-Young,Male,No,Common,,1,True,1
000026057.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026057.jpg,"[[13, 163, 224, 260]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,No,Somewhat,,1,False,1
000005101.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005101.jpg,"[[221.252, 212.742, 84.388, 89.352]]",[True],Yes,Hard,Accident,Sad,Human-Adult,Neutral,Somewhat,Uncommon,['Interesting'],1,False,2
000005113.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005113.jpg,"[[37.584, 217.706, 159.557, 141.119]]",[True],Yes,Medium,Accident,Angry,Animal,Neutral,Somewhat,Uncommon,['Interesting'],1,True,1
000007530.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000007530.jpg,"[[82.97, 121.972, 312.022, 212.743]]",[True],Yes,Easy,Design,Happy,Cartoon,Neutral,Somewhat,Common,,1,False,2
000014983.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000014983.jpg,"[[197, 188, 110, 157]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,True,1
000013957.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000013957.jpg,"[[161, 247, 155, 137]]",[True],Yes,Hard,Accident,Neutral,Animal,Neutral,Somewhat,Uncommon,,1,True,3
000000808.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000808.jpg,"[[80, 205, 41, 104], [279, 100, 102, 108], [109, 91, 105, 109]]","[False, False, True]",Several,Easy,Accident,Neutral,Other,Neutral,No,Common,['Interesting'],3,True,1
000021456.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000021456.jpg,"[[171, 19, 199, 308]]",[True],Yes,Easy,Accident,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,False,2
000015479.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015479.jpg,"[[405, 131, 40, 44], [116, 243, 71, 82]]","[False, True]",Several,Easy,Design,Neutral,Human-Adult,Male,No,Uncommon,['Interesting'],2,True,2
000018346.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000018346.jpg,"[[124, 129, 337, 247]]",[True],Yes,Hard,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,True,2
000006848.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000006848.jpg,"[[68, 241, 108, 97]]",[True],Yes,Easy,Design,Happy,Other,Neutral,No,Common,,1,True,1
000015102.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000015102.jpg,"[[0, 0, 512, 458]]",[True],Yes,Easy,Design,,Cartoon,Neutral,No,Uncommon,['Interesting'],1,True,0
000008581.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000008581.jpg,"[[215, 230, 103, 81]]",[True],Yes,Medium,Accident,Happy,Animal,Neutral,No,Uncommon,,1,False,1
000016965.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000016965.jpg,"[[191, 163, 110, 117]]",[True],Yes,,Accident,Sad,Alien,Neutral,No,Uncommon,,1,True,0
000025247.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000025247.jpg,"[[200, 216, 77, 64]]",[True],Yes,Easy,Accident,Surprised,Other,Neutral,No,Common,,1,True,2
000024331.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000024331.jpg,"[[122, 90, 223, 279]]",[True],Yes,Easy,Design,Happy,Animal,Female,Yes,Uncommon,,1,False,0
000017883.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000017883.jpg,"[[107, 9, 314, 186]]",[True],Yes,Medium,Accident,Angry,Robot,Male,Somewhat,Uncommon,,1,True,0
000000199.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000000199.jpg,"[[35, 192, 330, 232]]",[True],Yes,Hard,Accident,Neutral,Alien,Neutral,No,Uncommon,,1,True,3
000022053.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000022053.jpg,"[[152, 183, 84, 86]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,No,Uncommon,['Interesting'],1,False,1
000001018.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000001018.jpg,"[[164, 242, 143, 98]]",[True],Yes,Easy,Design,Neutral,Human-Adult,Male,No,Common,,1,True,2
000011363.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00001/000011363.jpg,"[[145, 145, 240, 198]]",[True],Yes,Easy,Design,Happy,Robot,Neutral,No,Common,,1,False,1
000023833.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000023833.jpg,"[[113, 149, 265, 248]]",[True],Yes,Easy,Design,Neutral,Animal,Neutral,No,Uncommon,['Interesting'],1,True,2
000026002.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00002/000026002.jpg,"[[158, 133, 191, 281]]",[True],Yes,Hard,Accident,Surprised,Alien,Neutral,No,Uncommon,,1,False,3
000005921.jpg,https://raw.githubusercontent.com/3lbom/pareidolia/main/data/00000/000005921.jpg,"[[168.776, 124.809, 208.487, 172.321]]",[True],Yes,Easy,Design,Neutral,Cartoon,Neutral,Yes,Uncommon,['Interesting'],1,False,1
